Topic,Size,Top_Words,Representative_Text
224,20,"membunuh, membunuh sahabatnya, orang muslim, dua orang, muslim saling","berkata, berkata, ""saat keluar -yakni perang-, menemuiku seraya berkata, ""kembalilah pulang! sesungguhnya mendengar rasulullah shallallahu 'alaihi wasallam bersabda: ""jika dua orang muslim saling berh..."
225,20,"sela, sekali saja, hendaknya, mengerjakan hal, membersihkannya","nabi shallallahu 'alaihi wasallam bersabda: ""janganlah mengusap (kerikil) sementara shalat, terpaksa melakukan hal itu, cukuplah meratakannya sekali.""..."
226,20,"usus, tujuh usus, makan tujuh, kafir makan, satu usus","berkata; biasanya tidak makan didatangnya kepadanya seorang miskin makan bersamanya. pun memasukkan seorang laki-laki makan bersamanya, laki-laki makan banyak, pun berkata, ""wahai nafi', jangan masukk..."
227,20,"khaibar, hasilnya, tanah khaibar, separuh hasilnya, tanah",", , nabi shallallahu 'alaihi wasallam mempekerjakan penduduk khaibar upah setengah buah tanaman keluar...."
228,20,"an mengajarkannya, mengajarkannya, mempelajari, mempelajari al, al qur","nabi shallallahu 'alaihi wasallam, bersabda: ""sebaik-baik kalian orang mempelajari al qur'an mengajarkannya.""..."
229,20,"doa, dzat berhak, sepenuh, mu, dzat","bahwasanya pernah mendengar anaknya berdoa mengucapkan; ""ya allah, sesungguhnya memohon kepadamu istana putih di sisi surga memasukinya."" abdullah mughaffal berkata; ""wahai anakku, mintalah surga alla..."
230,20,"anjing, memelihara anjing, qirath, barangsiapa memelihara, selain anjing",", , mengabarkan , , , , nabi shallallahu 'alaihi wasallam, berkata: ""barangsiapa memelihara anjing kecuali anjing penjaga binatang ternak anjing pemburu, penjaga tanaman pahalanya berkurang satu qirat..."
231,20,"bermalam selama, dua malam, diwasiatkan, tertulis di, wasiatnya",", , kepadaku rasulullah shallallahu 'alaihi wasallam, berkata: ""tidaklah hak seorang muslim memiliki sesuatu diwasiatkan bermalam selama dua malam melainkan wasiatnya tertulis di sisinya.""..."
232,20,"kepada ku, ku, siapa meminta, langit dunia, kepada","rasulullah shallallahu 'alaihi wasallam bersabda: ""rabb tabaraka wa ta'ala turun di setiap malamnya ke langit dunia sepertiga malam terakhir, berfirman: ""barangsiapa berdo'a kepada-ku, niscaya kabulka..."
233,20,"nabi sebagai, sebagai masjid, menjadikan kuburan, kuburan para, kuburan","rasulullah shallallahu 'alaihi wasallam bersabda: ""semoga allah memerangi orang-orang yahudi, menjadikan kuburan-kuburan para nabi sebagai masjid.""..."
234,20,"zar, in, suamiku, berkata suamiku, wanita haid",", kepadaku , membaca ayat: ""wanita-wanita ditalak hendaklah menahan diri (menunggu) tiga kali quru'"", serta: ""dan perempuan-perempuan tidak haid lagi (monopause) di antara perempuan-perempuanmu ragu-r..."
235,20,"kuburan, di atasnya, kalian duduk, atasnya, diatas kuburan",", mengabarkan , , berkata; mendengar berkata; mendengar berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""janganlah kalian duduk di kuburan, jangan kalian melakukan shalat menghadap kepadany..."
236,20,"buahnya, pohon kurma, menjual, buah, pohon","berkata; 'araya seseorang memberikan beberapa pohon kurma seseorang, orang-orang tersebut merasa terganggu apa dilakukan orang diberi tersebut beberapa pohon kurma tersebut, membelinya seukuran penaks..."
237,20,"generasi, setelah mereka, generasiku, datang setelah, generasi setelahnya","berkata; memberitakan kami. (dalam jalur lain disebutkan) berkata; berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""sebaik-baik generasi generasi diutus di dalamnya, generasi setelah merek..."
238,20,"orang kota, kota, kota menjual, menjual orang, orang tinggal",", berkata; rasulullah shallallahu 'alaihi wasallam melarang orang bermukim (orang kota) menjualkan barang orang datang desa. katakan apa maksud tidak boleh orang bermukim (orang kota) menjualkan baran..."
239,19,"pujian, segala pujian, lah segala, rabb kami, liman","rasulullah shallallahu 'alaihi wasallam bersabda: ""apabila imam mengucapkan ""sami'allahu liman hamidah"" ucapkanlah kalian; ""allahumma rabbana lakal hamdu"" (ya allah rabb kami, hanya lah segala pujian)..."
240,19,"qirath, dua qirath, baginya pahala, satu qirath, pahala","(ahmad hanbal radliyallahu'anhu) berkata; berkata; berkata; rasulullah shallallahu'alaihiwasallam bersabda: ""barangsiapa mengiringi jenazah dishalatinya, mendapatkan satu qirath barangsiapa menungguny..."
241,19,"tulang rusuk, rusuk, bengkok, meluruskannya, mengangkat kepala",berkata; sungguh melihat kaum lelaki mengikat kain selimutnya di leher sempit mengerjakan shalat di rasulullah shallallahu 'alaihi wasallam seperti anak kecil. ada seseorang berkata; wahai kaum wanita...
242,19,"merupakan, khallad, bulan, rahimahullahu, semakna diriwayatkan","seseorang tsaqif, sufyan al hakam berkata; melihat rasulullah shallallahu 'alaihi wa salam buang air kecil, memercik-mercikkan kemaluan beliau. aswad 'amir syarik berkata; bertanya keluarga al hakam s..."
243,19,"uwaimir, ashim, saling, saling melaknat, membunuhnya","mengabarkan kepadanya 'uwaimir asyqar al 'ajlani datang 'ashim 'adi, berkata kepadanya; wahai 'ashim, bagaimana pendapatmu seorang laki-laki mendapati seorang laki-laki bersama isterinya. apakah boleh..."
244,19,"hisapan, kali hisapan, sedotan, kali sedotan, dua kali","berkata; berkata; pernah mendengar rasulullah shallallahu 'alaihi wasallam bersabda: ""janganlah dua orang laki-laki pergi ke tempat buang hajat keadaan membuka aurat keduanya, bercakap-cakap, sesunggu..."
245,19,"malu bertanya, madzi, aswad bertanya, wasallam madzi, bersahabat nabi","berkata, berkata, kepadaku berkata, ""saya melihat tujuh orang, lima di antaranya pernah bersahabat nabi shallallahu 'alaihi wasallam, sedangkan dua orang pernah menumpahkan darah masa jahiliyah belum ..."
246,19,"melihatku, setan tidak, sungguh melihatku, menyerupai, dapat menyerupai","berkata, berkata; mengabarkan kepadaku berkata; mengabarkan kepadaku berkata, ""aku mendengar rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa melihatku mimpi melihatku di sadar, mengatak..."
247,19,"sandal, sandalnya, kedua sandalnya, mengenakan sandal, sepasang","berkata; tatkala rasulullah shallallahu 'alaihi wasallam mengerjakan shalat bersama para sahabatnya, tiba tiba melepaskan kedua sandalnya meletakkannya di sebelah kirinya. sewaktu para sahabat melihat..."
248,19,"satu jari, raja, jari, akulah, bumi","mengabarkan berkata; berkata; mengabarkan kepadaku berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""pada hari kiamat allah menggulung semua langit mengenggamnya tangan kanan, setelah allah..."
249,19,"gambar, meniupkan, meniupkan ruh, kiamat, hari kiamat","keduanya berkata; berkata, rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa membuat gambar (bernyawa), karenanya allah menyiksanya hari kiamat mampu meniupkan ruh ke gambar tersebut, pad..."
250,19,"halal darah, darah seorang, satu tiga, kecuali salah, halal","berkata, mengabarkan berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""tidak halal darah seorang muslim bersaksi tidak ada ilah berhak disembah selain allah utusan allah kecuali salah satu ..."
251,19,"kalian memerangi, memerangi suatu, kiamat kalian, memerangi, tidak terjadi","berkata, -maksudnya ya'qub al iskandarani- -maksudnya suhail shalih- rasulullah shallallahu 'alaihi wasallam bersabda: ""kiamat tidak terjadi kaum muslimin memerangi bangsa turki, wajah seperti perisai..."
252,19,"surah al, surah, kaafiruun, membaca surah, al kaafiruun",", , berkata; nabi shallallahu 'alaihi wasallam bersabda: ""wahai ubai, sesungguhnya dibacakan al qur'an kepadaku, ditanya; satu gaya bahasa dua gaya bahasa? malaikat bersamaku berkata; katakan; dua gay..."
253,18,"junub, tidak najis, najis berkata, keadaan junub, najis","berkata; bahwasanya rasulullah shallallahu 'alaihi wasallam pernah bertemu denganku di salah satu jalan madinah, keadaan junub. menyelinap, pergi mandi. datang menghadap beliau. bersabda: ""di mana tad..."
254,18,"ke masjid, masjid, kaum wanita, pergi ke, wanita pergi","bahwasanya rasulullah shallallahu 'alaihi wasallam bersabda: ""janganlah kalian menghalangi kaum wanita pergi ke masjid masjid allah, hendaklah pergi tanpa memakai wangi-wangian.""..."
255,18,"mud, satu mud, mandi satu, sha air, satu sha",bahwasanya nabi shallallahu 'alaihi wasallam mandi satu sha' air berwudhu satu mud. dawud berkata; diriwayatkan berkata; pernah mendengar ....
256,18,"dinar, setengah dinar, harus bersedekah, bersedekah satu, satu dinar","nabi shallallahu 'alaihi wasallam, seorang suami menggauli istrinya haidl, bersabda: ""suami tersebut harus bersedekah satu dinar setengah dinar."" dawud berkata; demikianlah riwavat shahih, bersabda: ""..."
257,18,"tidak pernah, sama sekali, pernah memukul, malik tidak, sekali","berkata, berkata, berkata, ""rasulullah shallallahu 'alaihi wasallam tidak pernah memukul budak seorang wanita sama sekali.""..."
258,18,"aisyah, ibnu zubair, zubair, menjualnya, khamer",", , -ada keraguan yahya- mendengar abdurrahman farrukh bertanya ; menjualkan barang-barang orang, salah seorang datang ke mekkah bermalam keadaan menjaga harta? ibnu umar berkata; adapun rasulullah sh..."
259,18,"selama tiga, tiga hari, di makkah, makkah selama, bermukim",", , rasulullah shallallahu 'alaihi wasallam bermukim di mekkah umratul qadha selama tiga hari...."
260,18,"meminta, meminta sesuatu, meminta minta, tidak meminta, janganlah salah",", , mantan budak rasulullah shallallahu wa'alaihi wa sallam, berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""siapakah menjamin untukku tidak meminta-minta sesuatupun orang lain, menjaminny..."
261,18,"ah lebih, dua puluh, bersabda shalat, sendirian, derajat","berkata, mengabarkan , rasulullah shallallahu 'alaihi wasallam bersabda: ""shalat berjama'ah lebih utama dibandingkan shalat sendirian dua puluh tujuh derajat.""..."
262,18,"hitam, warna, anjing hitam, merah, keturunan",", , berkata; seorang laki-laki bani fazarah datang nabi shallallahu 'alaihi wasallam berkata; sesungguhnya isteriku melahirkan anak berkulit hitam. berkata: ""apakah memiliki unta?"" berkata; ya. berkat..."
263,18,"kecuali dua, dua hal, allah beri, siang, seseorang allah","berkata, berkata; mendengar nabi shallallahu'alaihiwasallam bersabda: ""tidak boleh iri (dengki) kecuali dua hal. (yaitu kepada) seorang allah berikan kepadanya harta menguasainya membelanjakannya di j..."
264,18,"orang terbunuh, terbunuh, bunting, cambuk tongkat, cambuk",", , kepadaku menyangka seseorang kalangan anshar dikenal nama mengabarkan kepadanya nabi shalla allahu 'alaihi wa sallam membayar diyahnya seratus unta unta zakat, yaitu diyah seorang anshar terbunuh ..."
265,18,"menghadap, baitul maqdis, maqdis, baitul, belas bulan","nabi shallallahu 'alaihi wasallam para sahabatnya shalat menghadap ke arah baitul maqdis, turun ayat; ""palingkanlah mukamu ke arah masjidil haram. dimana saja berada, palingkanlah mukamu ke arahnya."" ..."
266,18,"laki dua, kambing, perempuan satu, untuk anak, ekor kambing",", , , , , berkata; mendengar rasulullah shallallahu wa'alaihi wa sallam bersabda: ""untuk anak laki-laki dua kambing sama anak perempuan satu kambing."" daud berkata; mendengar ahmad, berkata; mukafiata..."
267,18,"secara baik, kalian menyembelih, menyembelih sembelihlah, menajamkan, pisaunya",", , berkata; dua sifat dengar rasulullah shallallahu wa'alaihi wa sallam: ""sesungguhnya allah mewajibkan bersikap baik segala sesuatu, kalian membunuh bersikaplah baik!"" selain muslim mengatakan menga..."
268,17,"berjumpa, benci, berjumpa dengannya, allah allah, benci berjumpa","berkata, ""pertaka kali mengetahui melihat seorang laki-laki tuan memutih rambut jenggotnya mengendarai seekor himar mengikuti jenazah. mendengar berkata, ""fulan fulan kepadaku, mendengar rasulullah sh..."
269,17,"buah mayang, mayang kurma, mayang, tangan buah, ada pemotongan","nabi shallallahu 'alaihi wasallam, bersabda: ""tidak ada hukum potong tangan buah-buahan tidak pula mayang kurma.""..."
270,17,"tujuh kali, menjilat bejana, anjing menjilat, menjilat, anjing","bahwasanya kepadanya, , nabiyullah shallallahu 'alaihi wasallam bersabda: ""apabila seekor anjing menjilat bejana, cucilah tujuh kali, ke tujuh tanah."" dawud berkata; adapun , , , , , semua meriwayatka..."
271,17,"kalian kembali, kafir, kalian memenggal, leher sebagian, sebagian kalian","berkata, berkata berkenaan ayat: '(sesungguhnya pembalasan orang-orang memerangi allah rasul-nya membuat kerusakan di muka bumi, hanyalah dibunuh disalib, dipotong tangan kaki bertimbal balik, dibuang..."
272,17,"baik yunus, yunus, yunus matta, matta, yunus mata","berkata, nabi shallallahu 'alaihi wasallam, bersabda: ""tidak pantas seorang hamba mengatakan: ""sesungguhnya lebih baik yunus mata.""..."
273,17,"puluh unta, puluh, dua puluh, unta, tahun","berkata; . (dalam jalur lain disebutkan) berkata, berkata, berkata, ""rasulullah shallallahu 'alaihi wasallam memberi putusan orang membunuh salah diyatnya (tebusannya) seratus ekor unta; tiga puluh an..."
274,17,"terbunuh mempertahankan, terbunuh, mempertahankan, mempertahankan hartanya, barangsiapa terbunuh","berkata, . (dalam jalur lain disebutkan) berkata, -dan haditsnya- berkata, ""barangsiapa terbunuh keadaan gelap (tidak jelas siapa pembunuh bagaimana caranya), yaitu saling lempar di antara mereka, bai..."
275,17,"ruqba, system, umra, sesuatu system, sesuatu tersebut","nabi shallallahu 'alaihi wasallam bersabda: ""janganlah memberikan ruqba umra. barangsiapa diberi ruqba umra hal tersebut para pewarisnya.""..."
276,17,"terlahir keadaan, keadaan menangis, terlahir, tangisan, mendengar tangisan","berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""aku hendak memanjangkan (bacaan) mengerjakan shalat, mendengar tangisan anak kecil, mempersingkat (bacaan shalat) tidak ingin memberatkan (h..."
277,17,"ke agama, pondasi, agama lain, subhanahu wa, allah subhanahu",", mengabarkan kepadaku , , radliallahu 'anha rasulullah shallallahu 'alaihi wasallam berkata kepadanya: ""thawafmu di ka'bah sa'imu antara shafa marwa cukup bagimu sebagai pelaksanaan haji umrah."" syaf..."
278,17,"mati suaminya, ditinggal mati, ditinggal, melempar kotoran, kotoran","(masih jalur periwayatan sama hadits sebelumnya) berkata; mendengar berkata; seorang wanita pernah datang rasulullah shallallahu 'alaihi wasallam berkata, ""wahai rasulullah, sesungguhnya anak perempua..."
279,17,"tujuh hari, tujuh, tiga hari, hari, menikahi ummu",", , berkata; kepadaku , rasulullah shallallahu 'alaihi wasallam tatkala menikahi ummu salamah tinggal di rumahnya selama tiga hari, berkata: ""engkau tidaklah direndahkan dikurangi hak keluargamu (maks..."
280,17,"berzina, merajamnya, berpaling darinya, empat kali, berpaling","berkata, berkata, ""saat ma'iz malik dibawa ke hadapan nabi shallallahu 'alaihi wasallam, melihat seorang laki-laki pendek, berotot besar tidak mengenakan selendang. bersaksi -sebanyak empat kali- diri..."
281,16,"gadis, janda, janda bersabda, menikah, gadis janda",", , mengabarkan , berkata; rasulullah shallallahu 'alaihi wasallam berkata kepadaku: ""apakah menikah?"" katakan; iya. bertanya: ""gadis janda?"" katakan; janda. berkata: ""mengapa tidak menikah seorang ga..."
282,16,"menjadikan pembebasannya, pembebasannya sebagai, sebagai maharnya, maharnya, pembebasannya",", , radliallahu 'anhuma membonceng budak wanitanya bernama shafiyyah bepergian ke mekkah...."
283,16,"tujuh orang, sapi, sapi tujuh, bersekutu, seekor sapi",", , , , , berkata; dahulu melakukan haji tamattu' zaman rasulullah shallallahu 'alaihi wasallam, menyembelih sapi tujuh orang unta tujuh orang, bersekutu kurban tersebut...."
284,16,"hilal, kalian melihatnya, berpuasalah kalian, berpuasalah, melihat hilal","berkata, mendengar berkata; nabi shallallahu 'alaihi wasallam bersabda, katanya al qasim shallallahu 'alaihi wasallam bersabda: ""berpuasalah kalian melihatnya (hilal) berbukalah melihatnya pula. kalia..."
285,16,"berbai at, berbai, mengucapkan, allah wajibkan, buatku",", di kesempatan lain berkata: berkata; , di kesempatan lainnya berkata; nabi shallallahu 'alaihi wasallam bersabda: ""tenanglah wahai hira`, berada di atasmu seorang nabi orang shiddiq orang syahid!"" s..."
286,16,"pembunuh, wali, wali korban, korban, memaafkannya","berkata, berkata; berkata, kepadaku berkata, kepadaku berkata, ""aku pernah di sisi nabi shallallahu 'alaihi wasallam, didatangkan ke hadapan seorang pembunuh lehernya diikat tali."" wail berkata, ""beli..."
287,16,"menikahi maimunah, wasallam menikahi, maimunah, berihram, menikahi","anak saudara laki-laki maimunah, , berkata; rasulullah shallallahu wa'alaihi wa sallam menikahiku di saraf sementara keadaan tidak berihram...."
288,16,"seember air, kencing di, seember, badui, kencing","berkata, mengabarkan nabi shallallahu 'alaihi wasallam melihat seorang 'arab badui kencing di masjid, bersabda: ""biarkanlah."" setelah orang selesai, meminta air menyiram bekasnya.""..."
289,16,"berpuasa perjalanan, kebaikan berpuasa, termasuk kebajikan, termasuk kebaikan, bersabda bukan",", rasulullah shallallahu 'alaihi wasallam pernah melihat seorang laki-laki dinaungi orang-orang mengerumuninya, berkata: ""bukanlah termasuk kebaikan berpuasa perjalanan.""..."
290,16,"menanam, tanaman, sedekah baginya, menanam tanaman, dimakan","mengabarkan mengabarkan kepadaku berkata, ""tidak disebut jaihah musibah menimpa tanaman kurang sepertiga modal."" yahya berkata, ""ini sesuatu biasa di antara orang-orang muslim.""..."
291,16,"jabatan, sumpahmu, bayarlah, janganlah meminta, baik bayarlah",", , mengabarkan , berkata; nabi shallallahu 'alaihi wasallam berkata kepadaku: ""wahai abdurrahman samurah, bersumpah melihat selainnya lebih baik lakukan lebih baik bayarlah kafarah sumpahmu."" daud be..."
292,15,"barirah, membeli barirah, perwalian, barirah bersabda, ingin membeli",", , mengabarkan , berkata; berkata: ""dan apa saja harta rampasan (fai`) diberikan allah rasulnya (dari harta benda) mereka, mendapatkan tidak mengerahkan seekor kudapun (tidak pula) seekor untapun."" a..."
293,15,"ma qil, qil, shallallahu wa, wa alaihi, katakan","secara makna, mengatakan; . berkata; berasal bani sadus, , berkata haditsnya; namanya bukanlah basyir, rasulullah shallallahu wa'alaihi wa sallam menamakannya basyir. berkata; sesungguhnya para para a..."
294,15,"saudarimu, bernadzar berjalan, bernadzar, seperenam, berjalan kaki",", , kepadaku rasulullah shallallahu 'alaihi wasallam berkata abdurrahman: ""boncengkan saudarimu 'aisyah, umrahkan tan'im, di anak bukit hendaknya melakukan umrah, sesungguhnya umrah tersebut umrah dit..."
295,15,"lembah, adam memiliki, tanah allah, anak adam, adam","seorang laki-laki datang nabi shallallahu 'alaihi wasallam berkata, ""wahai rasulullah, memiliki harta anak, sementara orang tuaku membutuhkan hartaku?"" bersabda: ""kamu hartamu milik orang tuamu, sesun..."
296,15,"neneknya, tikar, mulaikah, mengundang rasulullah, wanita tua","neneknya, mulaikah pernah mengundang rasulullah shallallahu 'alaihi wasallam suatu jamuan makan dibuatnya. makan darinya bersabda: ""bangkitlah, mengerjakan shalat kalian."" kata anas; bangkit mengambil..."
297,15,"hazim, musa, sulaiman, allah subhanallahu, subhanallahu wa","berkata, berkata, ""saat berada peperangan qastantiniyah di daerah dzuluqyah, seorang laki-laki terpandang paling baik penduduk palestina, orang-orang biasa memanggilnya nama hani kultsum syarik al kin..."
298,15,"sahl, abdullah sahl, lima puluh, muhayyishah, sumpah","secara makna, keduanya berkata; berkata, ""muhayishah mas'ud abdullah sahl berangkat menuju khaibar, keduanya berpisah di perkebunan kurma. abdullah sahl mati terbunuh, menuduh orang-orang yahudilah me..."
299,15,"menciptakan, rahmat ku, menciptakan makhluk, ku, mendominasi","berkata, berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""manusia selalu bertanya-tanya dikatakan, 'ini makhluk allah menciptakannya, siapakan menciptakan allah? ' siapa saja mengalami hal..."
